'bout	baʊt
disputed	dɪˈspju.təd|dɪˈspju.tɪd
disputes	dɪˈspjuts
disputing	dɪˈspju.tɪŋ
disqualification	dɪˌskwɑ.lə.fəˈkeɪ.ʃən
disqualified	dɪˈskwɑ.ləˌfaɪd
disqualifies	dɪˈskwɑ.ləˌfaɪz
disqualify	dɪˈskwɑ.ləˌfaɪ
disqualifying	dɪˈskwɑ.ləˌfaɪ.ɪŋ
disque	dɪsk
disquiet	dɪˈskwaɪ.ət
disquieting	dɪˈskwaɪ.ə.tɪŋ
disraeli	dɪzˈɹeɪ.li
disregard	ˌdɪs.ɹɪˈɡɑɹd
disregarded	ˌdɪs.ɹɪˈɡɑɹ.dɪd
disregarding	ˌdɪs.ɹɪˈɡɑɹ.dɪŋ
disregards	ˌdɪs.ɹɪˈɡɑɹdz
disrepair	ˌdɪs.ɹɪˈpɛɹ
disreputable	dɪsˈɹɛp.jə.tə.bəl
disrepute	ˌdɪs.ɹɪˈpjut
disrespect	ˌdɪs.ɹɪˈspɛkt
disrespected	ˌdɪs.ɹɪˈspɛk.tɪd
disrespectful	ˌdɪs.ɹɪˈspɛkt.fəl
disrespecting	ˌdɪs.ɹɪˈspɛk.tɪŋ
disrespects	ˌdɪs.ɹɪˈspɛkts
disrupt	dɪsˈɹʌpt
disrupted	dɪsˈɹʌp.tɪd
disrupting	dɪsˈɹʌp.tɪŋ
disruption	dɪsˈɹʌp.ʃən
disruptions	dɪsˈɹʌp.ʃənz
disruptive	dɪsˈɹʌp.tɪv
disrupts	dɪsˈɹʌpts
diss	dɪs
dissatisfaction	ˌdɪ.sæ.tɪˈsfæk.ʃən
dissatisfied	dɪˈsæt.əˌsfaɪd
dissatisfy	dɪˈsæt.əˌsfaɪ
dissect	daɪˈsɛkt
dissected	daɪˈsɛk.təd
dissecting	daɪˈsɛk.tɪŋ
dissection	daɪˈsɛk.ʃən|ˈdaɪ.sɛk.ʃən
dissections	daɪˈsɛk.ʃənz|ˈdaɪ.sɛk.ʃənz
dissects	daɪˈsɛkts|daɪˈsɛks
dissemble	dɪˈsɛm.bəl
dissembling	dɪˈsɛm.blɪŋ
disseminate	dɪˈsɛm.əˌneɪt
disseminated	dɪˈsɛm.əˌneɪ.təd
disseminates	dɪˈsɛm.əˌneɪts
disseminating	dɪˈsɛm.əˌneɪ.tɪŋ
dissemination	dɪˌsɛ.məˈneɪ.ʃən
dissension	dɪˈsɛn.ʃən
dissent	dɪˈsɛnt
dissented	dɪˈsɛn.tɪd|dɪˈsɛn.ɪd
dissenter	dɪˈsɛn.tɚ
dissenters	dɪˈsɛn.tɚz|dɪˈsɛn.ɚz
dissenting	dɪˈsɛn.tɪŋ|dɪˈsɛn.ɪŋ
dissents	dɪˈsɛnts
dissertation	ˌdɪ.sɚˈteɪ.ʃən
disservice	dɪˈsɝ.vəs
dissidence	ˈdɪs.ə.dəns
dissident	ˈdɪs.ə.dənt
dissidents	ˈdɪs.ə.dənts
dissidents'	ˈdɪs.ə.dənts
dissimilar	dɪˈsɪm.ə.lɚ
dissimilarity	ˌdɪˌsɪ.məˈlæɹ.ə.ti
dissing	ˈdɪs.ɪŋ
dissinger	ˈdɪs.ɪn.dʒɚ
dissipate	ˈdɪs.əˌpeɪt
dissipated	ˈdɪs.əˌpeɪ.tɪd
dissipates	ˈdɪs.əˌpeɪts
dissipating	ˈdɪs.əˌpeɪ.tɪŋ
dissipation	ˌdɪ.sɪˈpeɪ.ʃən
dissipative	ˈdɪs.əˌpeɪ.tɪv
dissociate	dɪˈsoʊ.si.eɪt
dissociation	dɪˌsoʊ.siˈeɪ.ʃən
dissolution	ˌdɪ.səˈlu.ʃən
dissolve	dɪˈzɑlv
dissolved	dɪˈzɑlvd
dissolver	dɪˈzɑl.vɚ
dissolvers	dɪˈzɑl.vɚz
dissolves	dɪˈzɑlvz
dissolving	dɪˈzɔl.vɪŋ
dissonance	ˈdɪs.ə.nəns
dissonant	ˈdɪs.ə.nənt
dissuade	dɪˈsweɪd
dissuaded	dɪˈsweɪ.dɪd
dissymmetric	ˌdɪ.sɪˈmɛt.ɹɪk
dissymmetry	dɪˈsɪm.ə.tɹi
distad	ˈdɪs.təd
distal	ˈdɪs.təl
distance	ˈdɪs.təns
distanced	ˈdɪs.tənst
distances	ˈdɪs.tən.səz|ˈdɪs.tən.sɪz
distancing	ˈdɪs.tən.sɪŋ
distant	ˈdɪs.tənt
distasi	dɪˈstɑ.si
distasio	dɪˈstɑ.si.oʊ
distaste	dɪˈsteɪst
distasteful	dɪˈsteɪst.fəl
distefano	dɪ.stɛˈfɑ.noʊ
distel	ˈdɪs.təl
distemper	dɪˈstɛm.pɚ
distend	dɪˈstɛnd
distended	dɪˈstɛn.dɪd
distil	dɪˈstɪl
distill	dɪˈstɪl
distillate	ˈdɪs.təˌleɪt|ˈdɪs.tə.lət
distillates	ˈdɪs.təˌleɪts
distillation	ˌdɪ.stəˈleɪ.ʃən
distilled	dɪˈstɪld
distiller	dɪˈstɪl.ɚ
distiller's	dɪˈstɪl.ɚz
distilleries	dɪˈstɪl.ɚ.iz
distillers	dɪˈstɪl.ɚz
distillers'	dɪˈstɪl.ɚz
distillers's	dɪˈstɪl.ɚ.zɪz
distillery	dɪˈstɪl.ɚ.i
distilling	dɪˈstɪl.ɪŋ
distills	dɪˈstɪlz
distinct	dɪˈstɪŋkt
distinction	dɪˈstɪŋk.ʃən
distinctions	dɪˈstɪŋk.ʃənz
distinctive	dɪˈstɪŋk.tɪv
distinctively	dɪˈstɪŋk.tɪv.li
distinctiveness	dɪˈstɪŋk.tɪv.nəs
distinctly	dɪˈstɪŋkt.li
distinguish	dɪˈstɪŋ.ɡwɪʃ
distinguishable	dɪˈstɪŋ.ɡwɪ.ʃə.bəl
distinguished	dɪˈstɪŋ.ɡwɪʃt
distinguishes	dɪˈstɪŋ.ɡwɪ.ʃɪz
distinguishing	dɪˈstɪŋ.ɡwɪ.ʃɪŋ
distler	ˈdɪst.lɚ
distort	dɪˈstɔɹt
distorted	dɪˈstɔɹ.təd|dɪˈstɔɹ.tɪd
distorting	dɪˈstɔɹ.tɪŋ
distortion	dɪˈstɔɹ.ʃən
distortions	dɪˈstɔɹ.ʃənz
distorts	dɪˈstɔɹts
distract	dɪˈstɹækt
distracted	dɪˈstɹæk.təd|dɪˈstɹæk.tɪd
distracting	dɪˈstɹæk.tɪŋ
distraction	dɪˈstɹæk.ʃən
distractions	dɪˈstɹæk.ʃənz
distracts	dɪˈstɹækts
distraught	dɪˈstɹɔt
distress	dɪˈstɹɛs
distressed	dɪˈstɹɛst
distresses	dɪˈstɹɛs.ɪz
distressing	dɪˈstɹɛs.ɪŋ
distressingly	dɪˈstɹɛs.ɪŋ.li
distribute	dɪˈstɹɪb.jut
distributed	dɪˈstɹɪb.jə.təd
distributes	dɪˈstɹɪb.juts
distributing	dɪˈstɹɪb.ju.tɪŋ
distribution	ˌdɪ.stɹəˈbju.ʃən
distributions	ˌdɪ.stɹəˈbju.ʃənz
distributive	dɪˈstɹɪb.ju.tɪv
distributor	dɪˈstɹɪb.jə.tɚ
distributor's	dɪˈstɹɪb.ju.tɚz
distributors	dɪˈstɹɪb.jə.tɚz
distributors'	dɪˈstɹɪb.jə.tɚz
distributorship	dɪˈstɹɪb.ju.tɚˌʃɪp
distributorships	dɪˈstɹɪb.ju.tɚˌʃɪps
district	ˈdɪs.tɹɪkt
district's	ˈdɪs.tɹɪkts
districting	ˈdɪs.tɹɪk.tɪnɡ
districts	ˈdɪs.tɹɪkts
distrigas	dɪˈstɹi.ɡəs
distron	ˈdɪsˌtɹɑn
distrust	dɪˈstɹʌst
distrusted	dɪˈstɹʌs.təd|dɪˈstɹʌs.tɪd
distrustful	dɪˈstɹʌst.fəl
distrusts	dɪˈstɹʌsts
disturb	dɪˈstɝb
disturbance	dɪˈstɝ.bəns
disturbances	dɪˈstɝ.bən.səz|dɪˈstɝ.bən.sɪz
disturbed	dɪˈstɝbd
disturbing	dɪˈstɝ.bɪŋ
disturbingly	dɪˈstɝ.bɪŋ.li
disturbs	dɪˈstɝbz
disunion	dɪˈsju.njən
disunity	dɪˈsju.nə.ti
disuse	dɪˈsjus
ditch	dɪtʃ
ditched	dɪtʃt
ditches	ˈdɪtʃ.əz|ˈdɪtʃ.ɪz
ditching	ˈdɪtʃ.ɪŋ
dith	dɪθ
dither	ˈdɪð.ɚ
dithering	ˈdɪð.ɚ.ɪŋ
dithers	ˈdɪð.ɚz
dithyramb	ˈdɪθ.ɚˌæm
ditka	ˈdɪt.kə
ditka's	ˈdɪt.kəz
ditlow	ˈdɪt.loʊ
ditmars	ˈdɪt.mɚz
ditmer	ˈdɪt.mɚ
ditmore	ˈdɪt.mɔɹ
ditomasso	dɪ.toʊˈmɑˌsoʊ
ditommaso	dɪ.toʊˈmɑˌsoʊ
ditsy	ˈdɪt.si
dittberner	ˈdɪt.bɚ.nɚ
dittemore	dɪˈtɛm.ɔɹ
ditter	ˈdɪt.ɚ
ditties	ˈdɪt.iz
dittman	ˈdɪt.mən
dittmann	ˈdɪt.mən
dittmar	ˈdɪt.mɚ
dittmer	ˈdɪt.mɚ
ditto	ˈdɪt.oʊ
dittohead	ˈdɪt.oʊˌhɛd
ditton	ˈdɪt.ən
dittrich	ˈdɪt.ɹɪk
dittus	ˈdɪt.əs
ditty	ˈdɪt.i
ditullio	dɪˈtʌl.iˌoʊ
ditzel	ˈdɪt.zəl
ditzler	ˈdɪt.slɚ
diuretic	ˌdaɪ.uˈɹɛt.ɪk
diuretics	ˌdaɪ.uˈɹɛt.ɪks
diurnal	daɪˈɝ.nəl
diurnally	daɪˈɝ.nə.li
diva	ˈdi.və
divad	ˈdɪv.æd
divalent	daɪˈveɪ.lənt
divall	ˈdɪv.əl
divan	dɪˈvæn
divas	ˈdi.vəz
dive	daɪv
dived	daɪvd
divelbiss	dɪˈvɛl.bɪs
diveley	ˈdɪv.ɪ.li
dively	ˈdaɪv.li
diven	ˈdaɪ.vən
divens	ˈdaɪ.vənz
diver	ˈdaɪ.vɚ
diver's	ˈdaɪ.vɚz
diverge	dɪˈvɝdʒ
diverged	daɪˈvɝdʒd
divergence	daɪˈvɝ.dʒəns|dɪˈvɝ.dʒəns
divergences	daɪˈvɝ.dʒən.sɪz
divergent	daɪˈvɝ.dʒənt|dɪˈvɝ.dʒənt
diverges	daɪˈvɝ.dʒɪz
diverging	daɪˈvɝ.dʒɪŋ
divers	ˈdaɪ.vɚz
diverse	daɪˈvɝs|dɪˈvɝs
diversicare	ˈdɪv.ɚ.sɪˌkɛɹ
diversification	daɪˌvɝ.sə.fəˈkeɪ.ʃən|dɪˌvɝ.sə.fəˈkeɪ.ʃən
diversifications	daɪˌvɝ.sə.fəˈkeɪ.ʃənz|dɪˌvɝ.sə.fəˈkeɪ.ʃənz
diversified	daɪˈvɝ.səˌfaɪd|dɪˈvɝ.səˌfaɪd
diversify	daɪˈvɝ.səˌfaɪ|dɪˈvɝ.səˌfaɪ
diversifying	daɪˈvɝ.səˌfaɪ.ɪŋ|dɪˈvɝ.səˌfaɪ.ɪŋ
diversion	daɪˈvɝ.ʒən|dɪˈvɝ.ʒən
diversionary	daɪˈvɝ.ʒəˌnɛ.ɹi|dɪˈvɝ.ʒəˌnɛ.ɹi
diversions	dɪˈvɝ.ʒənz|daɪˈvɝ.ʒənz
diversity	dɪˈvɝ.sɪ.ti|daɪˈvɝ.sɪ.ti
divert	daɪˈvɝt|dɪˈvɝt
diverted	daɪˈvɝ.tɪd|dɪˈvɝ.tɪd
diverticula	ˌdaɪ.vɚˈtɪk.jə.lə
diverticulum	ˌdaɪ.vɚˈtɪk.jə.ləm
divertimento	dɪˌvɝ.təˈmɛnˌtoʊ
diverting	daɪˈvɝ.tɪŋ|dɪˈvɝ.tɪŋ
diverts	daɪˈvɝts|dɪˈvɝts
dives	daɪvz
divest	daɪˈvɛst|dɪˈvɛst
divested	daɪˈvɛs.tɪd
divesting	daɪˈvɛs.tɪŋ
divestiture	dɪˈvɛs.tɪ.tʃɚ|daɪˈvɛs.tɪ.tʃɚ
divestitures	dɪˈvɛs.tɪ.tʃɚz|daɪˈvɛs.tɪ.tʃɚz
divestment	daɪˈvɛst.mənt|daɪˈvɛs.mənt|dɪˈvɛs.mənt
divestments	daɪˈvɛst.mənts|daɪˈvɛs.mənts|dɪˈvɛs.mənts
divests	daɪˈvɛsts
divi	ˈdi.vi
divide	dɪˈvaɪd
divided	dɪˈvaɪ.dɪd
dividend	ˈdɪv.ɪˌdɛnd
dividend's	ˈdɪv.əˌdɛndz
dividends	ˈdɪv.əˌdɛndz
divider	dɪˈvaɪ.dɚ
divides	dɪˈvaɪdz
dividing	dɪˈvaɪ.dɪŋ
divination	ˌdɪ.vəˈneɪ.ʃən
divincenzo	dɪ.vinˈtʃɛn.zoʊ
divine	dɪˈvaɪn
divinely	dɪˈvaɪn.li
diviney	ˈdɪv.ɪ.ni
diving	ˈdaɪ.vɪŋ
divining	dəˈvaɪ.nɪŋ
divinitas	ˌdɪ.vɪˈni.təs
divinities	dɪˈvɪn.ə.tiz
divinity	dɪˈvɪn.ə.ti
divirgilio	dɪ.vɪɹˈdʒi.liˌoʊ
divis	ˈdi.vɪs
divisible	dɪˈvɪz.ə.bəl
division	dɪˈvɪʒ.ən
division's	dɪˈvɪʒ.ənz
divisional	dɪˈvɪʒ.ə.nəl
divisions	dɪˈvɪʒ.ənz
divisions'	dɪˈvɪʒ.ənz
divisive	dɪˈvaɪ.sɪv
divisiveness	dɪˈvaɪ.sɪv.nəs
divison	dɪˈvɪʒ.ən|dɪˈvɪs.ən
divisor	dɪˈvaɪ.zɚ
divita	dɪˈvi.tə
divito	dɪˈvi.toʊ
divorce	dɪˈvɔɹs
divorced	dɪˈvɔɹst
divorcee	dəˈvɔɹˌsi|dəˈvɔɹˌseɪ
divorces	dɪˈvɔɹ.sɪz
divorcing	dɪˈvɔɹ.sɪŋ
divulge	dɪˈvʌldʒ|daɪˈvʌldʒ
divulged	dɪˈvʌldʒd|daɪˈvʌldʒd
divulging	dɪˈvʌl.dʒɪŋ|daɪˈvʌl.dʒɪŋ
divvied	ˈdɪv.id
divvy	ˈdɪv.i
diwa	ˈdi.wə
diwali	dɪˈwɑ.li
dix	dɪks
dixie	ˈdɪk.si
dixieland	ˈdɪk.siˌlænd
dixon	ˈdɪk.sən
dixon's	ˈdɪk.sənz
dixons	ˈdɪk.sənz
dixson	ˈdɪk.sən
dixville	ˈdɪk.svɪl
dixy	ˈdɪk.si
dizon	ˈdɪz.ən
dizziness	ˈdɪz.i.nəs
dizzy	ˈdɪz.i
dizzying	ˈdɪz.i.ɪŋ
dj	ˈdiˈdʒeɪ
djakarta	dʒəˈkɑɹ.tə
djakarta's	dʒəˈkɑɹ.təz
djibouti	dʒɪˈbuˌti
djukanovic	dʒuˈkæn.ə.vɪk|dʒəˈkæn.ə.vɪtʃ
djurdjevic	ˈdʒɝ.dʒə.vɪk
dk	ˈdiˈkeɪ
dlouhy	dəˈlaʊ.i
dlugos	dəˈlu.ɡoʊs
dlugosz	dəˈlu.ɡoʊs|dəˈlu.ɡoʊʃ
dmitri	dəˈmi.tɹi|ˈdmi.tɹi
dmz	ˈdiˌɛmˌzi
dna	ˈdiˌɛˈneɪ
dnase	ˈdiˌɛˌneɪs|ˈdiˌɛˌneɪz
dnc	ˈdiˌɛnˌsi
dniester	ˈdni.stɚ
dns	ˌdiˌɛˈnɛs
do	du
do's	duz
doable	ˈdu.ə.bəl
doak	doʊk
doan	doʊn
doan's	doʊnz
doane	doʊn
doanh	doʊn
doanna	ˈdoʊ.nə
doar	dɔɹ
dob	dɑb
dobb	dɑb
dobberstein	ˈdɑ.bɚˌstin|ˈdɑ.bɚˌstaɪn
dobbie	ˈdɑ.bi
dobbin	ˈdɑ.bɪn
dobbins	ˈdɑ.bɪnz
dobbs	dɑbz
dobek	ˈdoʊ.bɪk
dober	ˈdoʊ.bɚ
doberman	ˈdoʊ.bɚ.mən
doberstein	ˈdoʊ.bɚ.staɪn|ˈdoʊ.bɚ.stin
dobesh	ˈdɑ.bɪʃ
dobey	ˈdɑ.bi
dobias	doʊˈbi.əz
dobie	ˈdɑ.bi
dobies	ˈdoʊ.biz
dobis	ˈdoʊ.bɪs
dobkin	ˈdɑb.kɪn
dobkins	ˈdɑb.kɪnz
doble	ˈdoʊ.bəl
dobler	ˈdoʊ.bə.lɚ|ˈdoʊ.blɚ
dobmeier	ˈdɑb.maɪ.ɚ
doboj	ˈdoʊˌbɔdʒ
dobos	ˈdoʊ.boʊz
dobosz	ˈdɑ.bəʃ
dobransky	dəˈbɹæn.ski
dobratz	ˈdɑ.bɹəts
dobrimir	dəˈbɹi.mɪɹ
dobrin	ˈdɑ.bɹɪn
dobrinja	dəˈbɹin.dʒə|dəˈbɹi.njə
dobrins	ˈdɑ.bɹɪnz
dobrinski	dəˈbɹɪn.ski
dobro	ˈdoʊˌbɹoʊ
dobrowolski	də.bɹaʊˈoʊl.ski
dobrowski	dəˈbɹɔf.ski
dobry	ˈdɑ.bɹi
dobrynin	ˈdɑ.bɹɪ.nɪn|dəˈbɹi.nɪn
dobrzynski	ˌdoʊ.bɹəˈʒɪn.ski
dobson	ˈdɑb.sən
dobson's	ˈdɑb.sənz
dobsons	ˈdɑb.sənz
doby	ˈdoʊ.bi
dobyns	ˈdoʊ.bɪnz
doc	dɑk
docent	ˈdoʊ.sənt
docents	ˈdoʊ.sənts
docherty	ˈdɑ.tʃɚ.ti
dochow	ˈdoʊ.tʃaʊ
dochterman	ˈdɑk.tɚ.mən
docie	ˈdɑ.ki
docila	ˈdɑ.sɪ.lə
docile	ˈdɑ.səl
docility	dɑˈsɪl.ə.ti
dock	dɑk
dock's	dɑks
docked	dɑkt
docken	ˈdɑ.kən
dockendorf	ˈdɑ.kɪn.dɔɹf
docker	ˈdɑ.kɚ
dockers	ˈdɑ.kɚz
dockery	ˈdɑ.kɚ.i
docket	ˈdɑ.kət
dockets	ˈdɑ.kəts
dockham	ˈdɑk.həm
dockiers	ˈdɑ.kjɚz
docking	ˈdɑ.kɪŋ
dockings	ˈdɑ.kɪŋz
dockins	ˈdɑ.kɪnz
dockland	ˈdɑ.klənd
docklands	ˈdɑ.kləndz
docks	dɑks
dockside	ˈdɑkˌsaɪd
dockson	ˈdɑk.sən
dockstader	ˈdɑk.stə.dɚ
dockter	ˈdɑk.tɚ
dockworker	ˈdɑˌkwɝ.kɚ
dockworkers	ˈdɑˌkwɝ.kɚz
dockyard	ˈdɑˌkjɑɹd
docs	dɑks
doctor	ˈdɑk.tɚ|ˈdɔk.tɚ
doctor's	ˈdɑk.tɚz
doctoral	ˈdɑk.tɚ.əl
doctorate	ˈdɑk.tɚ.ət
doctorates	ˈdɑk.tɚ.əts
doctored	ˈdɑk.tɚd
doctoring	ˈdɑk.tɚ.ɪŋ
doctors	ˈdɑk.tɚz
doctors'	ˈdɑk.tɚz
doctrinaire	ˌdɑk.tɹəˈnɛɹ
doctrinal	ˈdɑk.tɹə.nəl
doctrine	ˈdɑk.tɹən|ˈdɔk.tɚ.ɪn
doctrine's	ˈdɑk.tɹənz
doctrines	ˈdɑk.tɹənz
docudrama	ˌdoʊ.kəˈdɹæm.ə
document	ˈdɑ.kjə.mɛnt|ˈdɑ.kju.mɛnt
documenta	ˌdɑ.kjuˈmɛn.tə
documentaries	ˌdɑ.kjəˈmɛn.tɚ.iz|ˌdɑ.kjəˈmɛn.ɚ.iz|ˌdɑ.kjuˈmɛn.tɚ.iz|ˌdɑ.kjuˈmɛn.ɚ.iz
documentary	ˌdɑ.kjəˈmɛn.tɚ.i|ˌdɑ.kjəˈmɛn.ɚ.i|ˌdɑ.kjuˈmɛn.tɚ.i|ˌdɑ.kjuˈmɛn.ɚ.i
documentation	ˌdɑ.kjə.mɛnˈteɪ.ʃən|ˌdɑ.kju.mɛnˈteɪ.ʃən
documented	ˈdɑ.kjəˌmɛn.təd|ˈdɑ.kjəˌmɛ.nəd|ˈdɑ.kjuˌmɛn.təd|ˈdɑ.kjuˌmɛ.nəd
documenting	ˈdɑ.kjə.mən.tɪŋ|ˈdɑ.kjə.mə.nɪŋ|ˈdɑ.kju.mən.tɪŋ|ˈdɑ.kju.mə.nɪŋ
documents	ˈdɑ.kjə.mənts|ˈdɑ.kju.mənts
dodaro	doʊˈdɑ.ɹoʊ
dodd	dɑd
dodd's	dɑdz
doddering	ˈdɑ.dɚ.ɪŋ
doddington	ˈdɑ.dɪn.tən|ˈdɑ.dɪŋ.tən
doddridge	ˈdɑ.dɹɪdʒ
dodds	dɑdz
dodge	dɑdʒ
dodge's	ˈdɑ.dʒɪz
dodged	dɑdʒd
dodgen	ˈdɑ.dʒən
dodger	ˈdɑ.dʒɚ
dodger's	ˈdɑ.dʒɚz
dodgers	ˈdɑ.dʒɚz
dodgers'	ˈdɑ.dʒɚz
dodges	ˈdɑ.dʒɪz
dodging	ˈdɑ.dʒɪŋ
dodi	ˈdoʊ.di
dodi's	ˈdoʊ.diz
dodo	ˈdoʊ.doʊ
dodo's	ˈdoʊ.doʊz
dodos	ˈdoʊ.doʊz
dodrill	ˈdɑ.dɹəl
dodson	ˈdɑd.sən
dodsworth	ˈdɑd.swɚθ
doe	doʊ
doe's	doʊz
doebler	ˈdoʊ.bə.lɚ|ˈdoʊ.blɚ
doeden	ˈdoʊ.dən
doege	doʊdʒ
doehring	ˈdɔ.ɹɪŋ
doell	doʊl
doenges	ˈdoʊn.dʒɪz
doepke	doʊpk
doepker	ˈdoʊp.kɚ
doer	duɹ
doerfler	ˈdɔɹ.fə.lɚ|ˈdɔɹ.flɚ
doerflinger	ˈdɔɹ.fə.lɪŋ.ɚ|ˈdɔɹ.flɪŋ.ɚ
doering	ˈdu.ɚ.ɪŋ
doernberg	ˈdɔɹn.bɚɡ
doerner	ˈdɔɹ.nɚ
doerr	dɔɹ
doers	ˈdu.ɚz
doersam	ˈdɔɹ.səm
does	dʌz|dɪz
doescher	ˈdoʊ.ʃɚ
doesn't	ˈdʌz.ənt|ˈdʌz.ən
doetsch	doʊtʃ
dofasco	dəˈfæs.koʊ
doff	dɔf
doffing	ˈdɔ.fɪŋ
doffs	dɔfs
dog	dɔɡ
dog's	dɔɡz
dogan	ˈdoʊ.ɡən
dogbane	ˈdɔɡˌbeɪn
dogberry	ˈdɔɡˌbɛ.ɹi
doge	doʊdʒ
dogear	ˈdɑ.ɡiɹ
dogeared	ˈdɑ.ɡiɹd
dogearing	ˈdɑ.ɡi.ɹɪŋ
dogears	ˈdɑ.ɡiɹz
dogfight	ˈdɑɡˌfaɪt
dogfights	ˈdɔɡˌfaɪts
dogfish	ˈdɔɡˌfɪʃ
dogged	dɔɡd
doggedly	ˈdɔ.ɡəd.li
doggerel	ˈdɑ.ɡɚ.əl
doggett	ˈdɑ.ɡɪt
doggie	ˈdɔ.ɡi
doggies	ˈdɔ.ɡiz
dogging	ˈdɔ.ɡɪŋ
doggone	ˈdɔ.ɡɔn
doggy	ˈdɔ.ɡi
doggy's	ˈdɔ.ɡiz
doghouse	ˈdɔɡˌhaʊs
doghouses	ˈdɔɡˌhaʊ.sɪz
dogle	ˈdoʊ.ɡəl|ˈdɑ.ɡəl
doglike	ˈdɔˌɡlaɪk
dogma	ˈdɑɡ.mə
dogmatic	dɑɡˈmæt.ɪk|dɔɡˈmæt.ɪk
dogmatically	dɑɡˈmæt.ɪ.kli
dogmatism	ˈdɑɡ.məˌtɪ.zəm
dogs	dɑɡz|dɔɡz
dogs'	dɔɡz
dogwood	ˈdɔˌɡwʊd
dogwoods	ˈdɔˌɡwʊdz
doh	doʊ
doha	ˈdoʊˌhɑ
doheny	ˈdɑ.hɪ.ni
doherty	ˈdoʊ.ɚ.ti|ˈdɔɹ.ti|ˈdɑ.hɚ.ti
dohm	dɑm
dohman	ˈdoʊ.mən
dohme	doʊm
dohmen	ˈdoʊ.mɛn
dohn	dɑn
dohnanyi	ˌdoʊˈnɑ.nji
dohner	ˈdoʊ.nɚ
dohr	dɔɹ
dohrman	ˈdɔɹ.mən
dohrmann	ˈdɔɹ.mən
dohse	doʊs
doi	dɔɪ
doidge	dɔɪdʒ
doig	dɔɪɡ
doilies	ˈdɔɪ.liz
doily	ˈdɔɪ.li
doin'	ˈdu.ɪn
doing	ˈdu.ɪŋ
doings	ˈdu.ɪŋz
doiron	dɔɪˈɹɔn|ˈdɔɪ.ɹən
doke	doʊk
dokely	ˈdoʊ.kli
dokey	ˈdoʊ.ki
dokken	ˈdɑ.kən
doktor	ˈdɑk.tɚ
dol	dɑl
dolak	ˈdoʊ.lək
dolan	ˈdoʊ.lən
doland	ˈdu.lənd
dolata	doʊˈlɑ.tə
dolbow	ˈdoʊl.boʊ
dolby	ˈdoʊl.bi
dolce	ˈdoʊlˌtʃeɪ
dolch	doʊltʃ
dold	doʊld
dolder	ˈdoʊl.dɚ
doldrum	ˈdoʊl.dɹəm
doldrums	ˈdoʊl.dɹəmz
dole	doʊl
dole's	doʊlz
dolecki	dəˈlɛt.ski
doled	doʊld
doleful	ˈdoʊl.fəl
dolen	ˈdoʊ.lən
dolence	ˈdoʊ.ləns
doles	doʊlz
doles's	ˈdoʊl.zɪz
doley	ˈdoʊ.li
dolezal	doʊ.leɪˈzæl
dolf	doʊlf
dolfi	ˈdoʊl.fi
dolgen	ˈdoʊl.dʒɛn
dolgin	ˈdoʊl.dʒɪn
dolin	ˈdoʊ.lɪn
dolinar	ˈdɑ.lɪ.nɚ
doling	ˈdoʊ.lɪŋ
dolinger	ˈdoʊ.lɪŋ.ɚ
dolinski	dəˈlɪn.ski
dolinsky	dəˈlɪn.ski
doll	dɑl
doll's	dɑlz
dollan	ˈdoʊ.lən
dollar	ˈdɑ.lɚ|ˈdɔ.lɚ
dollar's	ˈdɑ.lɚz|ˈdɑ.ləz|ˈdɔ.lɚz
dollard	ˈdɑ.lɚd
dollarhide	ˈdɑ.lɚˌhaɪd
dollars	ˈdɑ.lɚz|ˈdɔ.lɚz
dollars'	ˈdɑ.lɚz
dolle	dɑl
dolled	dɑld
dollens	ˈdɑ.lənz
dolley	ˈdɑ.li
dollhouse	ˈdɑlˌhaʊs
dollhouses	ˈdɑlˌhaʊ.sɪz
dollie	ˈdɑ.li
dollinger	ˈdɑ.lɪŋ.ɚ
dollins	ˈdɑ.lɪnz
dollison	ˈdɑ.lɪ.sən
dolliver	ˈdɑ.lɪ.vɚ
dolloff	ˈdɑˌlɔf
dollop	ˈdɑ.ləp
dolls	dɑlz
dolly	ˈdɑ.li
dolly's	ˈdɑ.liz
dolman	ˈdɑl.mən
dolney	ˈdoʊl.ni
dolomite	ˈdoʊ.ləˌmaɪt
dolomite's	ˈdoʊ.ləˌmaɪts
dolomites	ˈdoʊ.ləˌmaɪts
dolores	dəˈlɔ.ɹɪs
dolorita	doʊ.lɔˈɹi.tə
dolorosa	doʊ.lɚˈoʊ.sə
dolph	doʊlf
dolphin	ˈdɑl.fən
dolphins	ˈdɑl.fənz
dolphins'	ˈdɑl.fənz
dols	dɑlz
dolson	ˈdoʊl.sən
dolton	ˈdoʊl.tən
dom	dɑm
domagala	doʊ.mɑˈɡɑ.lə
domagalski	də.məˈɡɑl.ski
domain	doʊˈmeɪn
domaine	doʊˈmeɪn
domains	doʊˈmeɪnz
doman	ˈdu.mən
domangue	ˈdoʊ.mɑŋ
domanico	doʊ.mɑˈni.koʊ
domanski	dəˈmæn.ski
domas	ˈdoʊ.məs
dombeck	ˈdɑmˌbɛk
dombek	ˈdɑm.bɪk
dombkowski	dəmˈkɔf.ski
dombroski	dəmˈbɹaʊ.ski
dombrosky	dəmˈbɹoʊ.ski
dombrowski	dəmˈbɹɔf.ski
dome	doʊm
dome's	doʊmz
